primerak_id,inventarski_broj,datum_nabavke,fizicko_stanje,publikacija_id,odeljenje_id
382433,INV-00382433,2016-12-24,dobro,126552,10
382434,INV-00382434,2017-09-22,zadovoljavajuće,126552,10
382435,INV-00382435,2017-11-30,dobro,126557,1
382436,INV-00382436,2017-08-27,dobro,126557,1
382437,INV-00382437,2018-09-26,dobro,126557,1
382438,INV-00382438,2017-07-29,dobro,126557,1
382439,INV-00382439,2019-01-02,zadovoljavajuće,126557,1
382440,INV-00382440,2019-06-07,dobro,126557,1
382441,INV-00382441,2018-09-09,odlično,126557,1
382442,INV-00382442,2016-08-07,oštećeno,126557,4
382443,INV-00382443,2018-02-01,odlično,126557,10
382444,INV-00382444,2017-11-20,odlično,126557,10
382445,INV-00382445,2017-11-09,odlično,126557,13
382446,INV-00382446,2016-10-23,odlično,126560,1
382447,INV-00382447,2019-01-01,odlično,126560,1
382448,INV-00382448,2017-05-10,odlično,126560,4
382449,INV-00382449,2018-06-01,dobro,126560,7
382450,INV-00382450,2017-10-01,odlično,126560,10
382451,INV-00382451,2018-07-29,odlično,126560,13
382452,INV-00382452,2016-10-02,odlično,126562,1
382453,INV-00382453,2019-10-24,zadovoljavajuće,126562,1
382454,INV-00382454,2017-05-01,dobro,126562,4
382455,INV-00382455,2016-11-03,zadovoljavajuće,126562,4
382456,INV-00382456,2016-07-03,odlično,126562,7
382457,INV-00382457,2016-09-02,dobro,126562,10
382458,INV-00382458,2017-09-08,odlično,126562,10
382459,INV-00382459,2017-09-09,odlično,126563,1
382460,INV-00382460,2016-10-07,dobro,126563,1
382461,INV-00382461,2018-02-24,dobro,126563,1
382462,INV-00382462,2017-04-23,odlično,126563,1
382463,INV-00382463,2018-10-15,dobro,126563,1
382464,INV-00382464,2017-11-23,dobro,126563,4
382465,INV-00382465,2018-10-03,odlično,126563,4
382466,INV-00382466,2017-09-18,odlično,126563,7
382467,INV-00382467,2017-12-14,dobro,126563,7
382468,INV-00382468,2017-08-13,oštećeno,126568,2
382469,INV-00382469,2018-02-26,odlično,126568,2
382470,INV-00382470,2019-08-21,zadovoljavajuće,126568,2
382471,INV-00382471,2016-03-22,dobro,126568,5
382472,INV-00382472,2018-05-23,dobro,126568,8
382473,INV-00382473,2017-10-26,odlično,126568,8
382474,INV-00382474,2017-10-13,dobro,126568,8
382475,INV-00382475,2019-01-20,dobro,126568,8
382476,INV-00382476,2019-02-17,dobro,126568,8
382477,INV-00382477,2019-03-21,odlično,126568,8
382478,INV-00382478,2017-11-17,odlično,126568,11
382479,INV-00382479,2017-05-16,dobro,126568,11
382480,INV-00382480,2017-01-07,odlično,126568,11
382481,INV-00382481,2017-12-22,odlično,126568,11
382482,INV-00382482,2019-02-13,oštećeno,126568,14
382483,INV-00382483,2017-09-15,odlično,126577,1
382484,INV-00382484,2017-03-02,zadovoljavajuće,126577,1
382485,INV-00382485,2016-02-28,dobro,126577,4
382486,INV-00382486,2018-01-31,odlično,126577,4
382487,INV-00382487,2017-03-17,dobro,126577,4
382488,INV-00382488,2016-12-31,dobro,126577,4
382489,INV-00382489,2017-11-21,dobro,126577,4
382490,INV-00382490,2018-08-04,dobro,126577,7
382491,INV-00382491,2017-01-07,dobro,126577,7
382492,INV-00382492,2017-10-18,odlično,126577,7
382493,INV-00382493,2017-12-24,odlično,126577,7
382494,INV-00382494,2017-05-11,dobro,126577,10
382495,INV-00382495,2018-03-25,odlično,126577,10
382496,INV-00382496,2017-02-18,odlično,126577,13
382497,INV-00382497,2016-08-29,oštećeno,126577,13
382498,INV-00382498,2018-01-23,dobro,126577,13
382499,INV-00382499,2017-09-23,odlično,126579,1
382500,INV-00382500,2019-09-25,oštećeno,126579,1
382501,INV-00382501,2018-04-03,odlično,126579,1
382502,INV-00382502,2016-07-27,dobro,126579,4
382503,INV-00382503,2017-09-25,dobro,126579,4
382504,INV-00382504,2017-11-08,odlično,126579,4
382505,INV-00382505,2017-08-19,dobro,126579,4
382506,INV-00382506,2019-10-21,odlično,126579,4
382507,INV-00382507,2018-01-20,dobro,126579,4
382508,INV-00382508,2016-10-21,odlično,126579,7
382509,INV-00382509,2018-06-09,zadovoljavajuće,126579,10
382510,INV-00382510,2017-08-10,odlično,126579,13
382511,INV-00382511,2018-07-11,zadovoljavajuće,126579,13
382512,INV-00382512,2016-09-18,dobro,126581,3
382513,INV-00382513,2016-01-14,dobro,126581,3
382514,INV-00382514,2017-10-01,odlično,126581,3
382515,INV-00382515,2017-03-07,odlično,126581,3
382516,INV-00382516,2017-01-18,dobro,126581,3
382517,INV-00382517,2017-07-16,odlično,126581,3
382518,INV-00382518,2017-07-22,odlično,126581,3
382519,INV-00382519,2016-05-07,zadovoljavajuće,126581,3
382520,INV-00382520,2016-05-05,odlično,126581,3
382521,INV-00382521,2017-01-02,odlično,126581,3
382522,INV-00382522,2017-06-07,odlično,126581,3
382523,INV-00382523,2016-10-02,dobro,126581,3
382524,INV-00382524,2018-03-09,dobro,126581,3
382525,INV-00382525,2016-11-26,odlično,126581,3
382526,INV-00382526,2016-12-31,dobro,126581,3
382527,INV-00382527,2017-01-15,odlično,126581,3
382528,INV-00382528,2016-11-15,odlično,126581,3
382529,INV-00382529,2017-10-21,zadovoljavajuće,126581,3
382530,INV-00382530,2017-04-24,dobro,126581,3
382531,INV-00382531,2018-05-10,odlično,126581,3
382532,INV-00382532,2017-02-22,dobro,126581,3
382533,INV-00382533,2018-06-21,zadovoljavajuće,126581,3
382534,INV-00382534,2018-04-04,zadovoljavajuće,126581,3
382535,INV-00382535,2017-02-09,odlično,126581,3
382536,INV-00382536,2018-05-03,odlično,126581,3
382537,INV-00382537,2016-12-29,dobro,126581,3
382538,INV-00382538,2018-04-03,dobro,126581,3
382539,INV-00382539,2018-03-08,dobro,126581,3
382540,INV-00382540,2017-01-04,dobro,126581,3
382541,INV-00382541,2016-10-27,oštećeno,126581,3
382542,INV-00382542,2018-03-15,odlično,126581,3
382543,INV-00382543,2017-03-31,odlično,126581,3
382544,INV-00382544,2017-10-11,odlično,126581,3
382545,INV-00382545,2016-11-18,odlično,126581,3
382546,INV-00382546,2017-01-10,dobro,126581,3
382547,INV-00382547,2017-12-10,odlično,126581,3
382548,INV-00382548,2017-02-12,zadovoljavajuće,126581,3
382549,INV-00382549,2017-12-24,dobro,126581,3
382550,INV-00382550,2017-04-29,odlično,126581,3
382551,INV-00382551,2018-06-04,dobro,126581,3
382552,INV-00382552,2017-11-02,odlično,126581,3
382553,INV-00382553,2018-01-10,odlično,126581,3
382554,INV-00382554,2018-07-18,zadovoljavajuće,126581,3
382555,INV-00382555,2018-06-30,dobro,126581,3
382556,INV-00382556,2018-02-16,odlično,126581,3
382557,INV-00382557,2017-01-23,dobro,126581,3
382558,INV-00382558,2017-07-05,odlično,126581,3
382559,INV-00382559,2019-01-31,odlično,126581,3
382560,INV-00382560,2018-11-11,dobro,126581,3
382561,INV-00382561,2018-04-29,odlično,126581,3
382562,INV-00382562,2017-10-23,odlično,126581,3
382563,INV-00382563,2018-04-04,odlično,126581,3
382564,INV-00382564,2017-12-05,odlično,126581,3
382565,INV-00382565,2018-03-27,zadovoljavajuće,126581,3
382566,INV-00382566,2017-12-14,dobro,126581,3
382567,INV-00382567,2017-06-27,odlično,126581,3
382568,INV-00382568,2017-05-08,dobro,126581,3
382569,INV-00382569,2018-02-09,odlično,126581,3
382570,INV-00382570,2017-10-27,odlično,126581,3
382571,INV-00382571,2018-03-27,odlično,126581,3
382572,INV-00382572,2017-06-03,odlično,126581,3
382573,INV-00382573,2018-04-12,odlično,126581,3
382574,INV-00382574,2019-03-15,dobro,126581,3
382575,INV-00382575,2018-11-27,dobro,126581,3
382576,INV-00382576,2019-04-14,dobro,126581,3
382577,INV-00382577,2018-05-27,dobro,126581,3
382578,INV-00382578,2017-10-24,dobro,126581,3
382579,INV-00382579,2018-03-07,dobro,126581,3
382580,INV-00382580,2017-08-12,zadovoljavajuće,126581,3
382581,INV-00382581,2019-04-16,zadovoljavajuće,126581,3
382582,INV-00382582,2018-11-01,dobro,126581,3
382583,INV-00382583,2017-07-17,odlično,126581,3
382584,INV-00382584,2017-09-15,odlično,126581,3
382585,INV-00382585,2019-03-22,dobro,126581,3
382586,INV-00382586,2019-04-25,dobro,126581,3
382587,INV-00382587,2018-02-15,odlično,126581,3
382588,INV-00382588,2017-08-28,zadovoljavajuće,126581,3
382589,INV-00382589,2017-12-07,odlično,126581,3
382590,INV-00382590,2019-07-01,odlično,126581,3
382591,INV-00382591,2019-05-03,odlično,126581,3
382592,INV-00382592,2018-09-10,dobro,126581,3
382593,INV-00382593,2018-02-19,zadovoljavajuće,126581,3
382594,INV-00382594,2019-02-11,odlično,126581,3
382595,INV-00382595,2018-02-10,zadovoljavajuće,126581,3
382596,INV-00382596,2018-10-22,dobro,126581,3
382597,INV-00382597,2019-09-13,dobro,126581,3
382598,INV-00382598,2018-08-29,zadovoljavajuće,126581,3
382599,INV-00382599,2018-07-31,odlično,126581,3
382600,INV-00382600,2019-03-05,odlično,126581,3
382601,INV-00382601,2019-08-02,dobro,126581,3
382602,INV-00382602,2018-11-20,dobro,126581,3
382603,INV-00382603,2019-09-10,odlično,126581,3
382604,INV-00382604,2019-10-19,odlično,126581,3
382605,INV-00382605,2019-01-13,zadovoljavajuće,126581,3
382606,INV-00382606,2019-07-31,oštećeno,126581,3
382607,INV-00382607,2018-09-21,odlično,126581,3
382608,INV-00382608,2018-11-29,odlično,126581,3
382609,INV-00382609,2018-02-06,dobro,126581,3
382610,INV-00382610,2019-04-09,dobro,126581,3
382611,INV-00382611,2018-12-31,dobro,126581,3
382612,INV-00382612,2019-04-25,odlično,126581,3
382613,INV-00382613,2018-08-19,dobro,126581,3
382614,INV-00382614,2019-10-13,odlično,126581,3
382615,INV-00382615,2018-03-22,dobro,126581,3
382616,INV-00382616,2018-09-28,odlično,126581,3
382617,INV-00382617,2018-02-02,dobro,126581,3
382618,INV-00382618,2019-09-15,dobro,126581,3
382619,INV-00382619,2019-04-01,odlično,126581,3
382620,INV-00382620,2019-06-27,dobro,126581,3
382621,INV-00382621,2017-12-19,odlično,126581,3
382622,INV-00382622,2019-07-10,odlično,126581,3
382623,INV-00382623,2019-03-05,oštećeno,126581,3
382624,INV-00382624,2018-05-07,oštećeno,126581,3
382625,INV-00382625,2019-07-06,dobro,126581,3
382626,INV-00382626,2017-07-10,odlično,126581,6
382627,INV-00382627,2017-03-31,odlično,126581,6
382628,INV-00382628,2016-04-01,odlično,126581,6
382629,INV-00382629,2016-03-09,odlično,126581,6
382630,INV-00382630,2017-09-11,odlično,126581,6
382631,INV-00382631,2017-06-12,dobro,126581,6
382632,INV-00382632,2017-02-08,zadovoljavajuće,126581,6
382633,INV-00382633,2016-11-27,zadovoljavajuće,126581,6
382634,INV-00382634,2017-07-07,odlično,126581,6
382635,INV-00382635,2016-11-07,dobro,126581,6
382636,INV-00382636,2016-09-28,dobro,126581,6
382637,INV-00382637,2017-04-20,dobro,126581,6
382638,INV-00382638,2017-12-03,dobro,126581,6
382639,INV-00382639,2018-03-30,dobro,126581,6
382640,INV-00382640,2017-05-19,zadovoljavajuće,126581,6
382641,INV-00382641,2016-09-15,zadovoljavajuće,126581,6
382642,INV-00382642,2016-08-19,odlično,126581,6
382643,INV-00382643,2016-09-23,zadovoljavajuće,126581,6
382644,INV-00382644,2017-03-19,oštećeno,126581,6
382645,INV-00382645,2018-04-06,odlično,126581,6
382646,INV-00382646,2016-12-20,zadovoljavajuće,126581,6
382647,INV-00382647,2016-11-21,zadovoljavajuće,126581,6
382648,INV-00382648,2017-03-26,dobro,126581,6
382649,INV-00382649,2018-03-23,odlično,126581,6
382650,INV-00382650,2017-04-15,odlično,126581,6
382651,INV-00382651,2017-03-24,dobro,126581,6
382652,INV-00382652,2016-11-01,odlično,126581,6
382653,INV-00382653,2017-05-30,zadovoljavajuće,126581,6
382654,INV-00382654,2017-04-06,odlično,126581,6
382655,INV-00382655,2017-04-12,zadovoljavajuće,126581,6
382656,INV-00382656,2018-04-22,odlično,126581,6
382657,INV-00382657,2018-02-13,dobro,126581,6
382658,INV-00382658,2017-04-21,odlično,126581,6
382659,INV-00382659,2017-01-24,zadovoljavajuće,126581,6
382660,INV-00382660,2018-07-27,dobro,126581,6
382661,INV-00382661,2018-02-22,odlično,126581,6
382662,INV-00382662,2017-03-12,dobro,126581,6
382663,INV-00382663,2017-01-29,odlično,126581,6
382664,INV-00382664,2017-04-01,dobro,126581,6
382665,INV-00382665,2017-01-25,odlično,126581,6
382666,INV-00382666,2017-05-20,odlično,126581,6
382667,INV-00382667,2017-08-27,odlično,126581,6
382668,INV-00382668,2018-09-04,zadovoljavajuće,126581,6
382669,INV-00382669,2018-01-18,odlično,126581,6
382670,INV-00382670,2017-05-10,dobro,126581,6
382671,INV-00382671,2018-04-05,dobro,126581,6
382672,INV-00382672,2017-02-18,zadovoljavajuće,126581,6
382673,INV-00382673,2018-08-12,odlično,126581,6
382674,INV-00382674,2017-05-23,dobro,126581,6
382675,INV-00382675,2018-09-14,dobro,126581,6
382676,INV-00382676,2018-12-04,dobro,126581,6
382677,INV-00382677,2019-02-08,odlično,126581,6
382678,INV-00382678,2017-05-26,dobro,126581,6
382679,INV-00382679,2018-01-20,odlično,126581,6
382680,INV-00382680,2019-01-30,dobro,126581,6
382681,INV-00382681,2017-09-03,dobro,126581,6
382682,INV-00382682,2018-09-02,dobro,126581,6
382683,INV-00382683,2017-05-20,dobro,126581,6
382684,INV-00382684,2017-06-15,dobro,126581,6
382685,INV-00382685,2017-12-10,dobro,126581,6
382686,INV-00382686,2018-05-20,odlično,126581,6
382687,INV-00382687,2018-05-31,odlično,126581,6
382688,INV-00382688,2017-10-11,dobro,126581,6
382689,INV-00382689,2019-03-02,odlično,126581,6
382690,INV-00382690,2018-12-03,odlično,126581,6
382691,INV-00382691,2019-05-12,odlično,126581,6
382692,INV-00382692,2018-03-25,dobro,126581,6
382693,INV-00382693,2019-01-21,dobro,126581,6
382694,INV-00382694,2018-09-17,dobro,126581,6
382695,INV-00382695,2018-02-28,odlično,126581,6
382696,INV-00382696,2017-11-12,odlično,126581,6
382697,INV-00382697,2019-05-31,dobro,126581,6
382698,INV-00382698,2019-04-11,dobro,126581,6
382699,INV-00382699,2017-09-21,odlično,126581,6
382700,INV-00382700,2018-11-08,dobro,126581,6
382701,INV-00382701,2018-10-12,odlično,126581,6
382702,INV-00382702,2017-11-13,zadovoljavajuće,126581,6
382703,INV-00382703,2019-01-03,odlično,126581,6
382704,INV-00382704,2019-04-07,dobro,126581,6
382705,INV-00382705,2018-12-24,odlično,126581,6
382706,INV-00382706,2019-08-08,odlično,126581,6
382707,INV-00382707,2018-05-06,dobro,126581,6
382708,INV-00382708,2019-04-11,zadovoljavajuće,126581,6
382709,INV-00382709,2019-09-28,odlično,126581,6
382710,INV-00382710,2018-06-23,odlično,126581,6
382711,INV-00382711,2018-09-08,dobro,126581,6
382712,INV-00382712,2018-01-11,zadovoljavajuće,126581,6
382713,INV-00382713,2018-10-16,dobro,126581,6
382714,INV-00382714,2018-03-16,odlično,126581,6
382715,INV-00382715,2018-06-30,dobro,126581,6
382716,INV-00382716,2019-02-26,dobro,126581,6
382717,INV-00382717,2017-12-20,dobro,126581,6
382718,INV-00382718,2019-08-15,odlično,126581,6
382719,INV-00382719,2019-05-25,zadovoljavajuće,126581,6
382720,INV-00382720,2018-09-27,odlično,126581,6
382721,INV-00382721,2019-02-20,odlično,126581,6
382722,INV-00382722,2018-11-03,odlično,126581,6
382723,INV-00382723,2019-03-12,zadovoljavajuće,126581,6
382724,INV-00382724,2019-05-22,zadovoljavajuće,126581,6
382725,INV-00382725,2018-02-09,odlično,126581,6
382726,INV-00382726,2019-09-09,odlično,126581,6
382727,INV-00382727,2018-08-30,zadovoljavajuće,126581,6
382728,INV-00382728,2019-10-12,dobro,126581,6
382729,INV-00382729,2018-12-10,dobro,126581,6
382730,INV-00382730,2018-01-05,odlično,126581,6
382731,INV-00382731,2018-07-28,dobro,126581,6
382732,INV-00382732,2019-03-17,odlično,126581,6
382733,INV-00382733,2018-12-08,dobro,126581,6
382734,INV-00382734,2016-09-14,odlično,126581,9
382735,INV-00382735,2016-04-05,dobro,126581,9
382736,INV-00382736,2016-04-27,odlično,126581,9
382737,INV-00382737,2016-06-03,zadovoljavajuće,126581,9
382738,INV-00382738,2018-02-09,zadovoljavajuće,126581,9
382739,INV-00382739,2017-07-02,odlično,126581,9
382740,INV-00382740,2016-06-25,odlično,126581,9
382741,INV-00382741,2017-09-20,odlično,126581,9
382742,INV-00382742,2017-03-04,zadovoljavajuće,126581,9
382743,INV-00382743,2016-07-27,odlično,126581,9
382744,INV-00382744,2017-07-26,dobro,126581,9
382745,INV-00382745,2018-02-17,dobro,126581,9
382746,INV-00382746,2017-09-23,odlično,126581,9
382747,INV-00382747,2017-05-31,dobro,126581,9
382748,INV-00382748,2017-11-28,odlično,126581,9
382749,INV-00382749,2016-12-03,dobro,126581,9
382750,INV-00382750,2018-06-07,odlično,126581,9
382751,INV-00382751,2017-01-18,dobro,126581,9
382752,INV-00382752,2017-11-26,dobro,126581,9
382753,INV-00382753,2017-06-24,odlično,126581,9
382754,INV-00382754,2017-10-02,dobro,126581,9
382755,INV-00382755,2017-04-24,dobro,126581,9
382756,INV-00382756,2017-10-12,dobro,126581,9
382757,INV-00382757,2017-06-02,dobro,126581,9
382758,INV-00382758,2018-07-18,odlično,126581,9
382759,INV-00382759,2016-12-17,dobro,126581,9
382760,INV-00382760,2017-03-29,dobro,126581,9
382761,INV-00382761,2018-01-14,odlično,126581,9
382762,INV-00382762,2017-06-01,zadovoljavajuće,126581,9
382763,INV-00382763,2017-11-23,odlično,126581,9
382764,INV-00382764,2017-06-30,oštećeno,126581,9
382765,INV-00382765,2018-02-09,dobro,126581,9
382766,INV-00382766,2017-06-27,zadovoljavajuće,126581,9
382767,INV-00382767,2018-05-04,odlično,126581,9
382768,INV-00382768,2018-03-21,odlično,126581,9
382769,INV-00382769,2018-06-18,zadovoljavajuće,126581,9
382770,INV-00382770,2018-11-03,odlično,126581,9
382771,INV-00382771,2017-08-10,dobro,126581,9
382772,INV-00382772,2017-11-28,dobro,126581,9
382773,INV-00382773,2018-10-25,odlično,126581,9
382774,INV-00382774,2018-07-24,dobro,126581,9
382775,INV-00382775,2019-01-25,dobro,126581,9
382776,INV-00382776,2018-03-17,oštećeno,126581,9
382777,INV-00382777,2017-07-26,odlično,126581,9
382778,INV-00382778,2019-06-15,odlično,126581,9
382779,INV-00382779,2018-06-11,odlično,126581,9
382780,INV-00382780,2018-08-26,zadovoljavajuće,126581,9
382781,INV-00382781,2018-11-07,dobro,126581,9
382782,INV-00382782,2018-02-24,dobro,126581,9
382783,INV-00382783,2018-08-23,oštećeno,126581,9
382784,INV-00382784,2018-09-20,odlično,126581,9
382785,INV-00382785,2018-05-13,zadovoljavajuće,126581,9
382786,INV-00382786,2019-01-03,dobro,126581,9
382787,INV-00382787,2019-08-07,zadovoljavajuće,126581,9
382788,INV-00382788,2019-06-19,dobro,126581,9
382789,INV-00382789,2018-10-18,odlično,126581,9
382790,INV-00382790,2018-03-15,odlično,126581,9
382791,INV-00382791,2019-03-21,dobro,126581,9
382792,INV-00382792,2019-01-01,zadovoljavajuće,126581,9
382793,INV-00382793,2018-02-19,dobro,126581,9
382794,INV-00382794,2019-06-28,dobro,126581,9
382795,INV-00382795,2018-07-07,zadovoljavajuće,126581,9
382796,INV-00382796,2018-03-27,dobro,126581,9
382797,INV-00382797,2017-12-31,odlično,126581,9
382798,INV-00382798,2018-11-13,odlično,126581,9
382799,INV-00382799,2018-08-21,dobro,126581,9
382800,INV-00382800,2019-09-27,odlično,126581,9
382801,INV-00382801,2018-04-08,odlično,126581,9
382802,INV-00382802,2016-08-29,dobro,126581,12
382803,INV-00382803,2017-11-13,odlično,126581,12
382804,INV-00382804,2017-01-10,odlično,126581,12
382805,INV-00382805,2017-08-12,odlično,126581,12
382806,INV-00382806,2018-04-07,dobro,126581,12
382807,INV-00382807,2017-06-20,odlično,126581,12
382808,INV-00382808,2016-10-30,dobro,126581,12
382809,INV-00382809,2016-09-01,odlično,126581,12
382810,INV-00382810,2017-07-31,dobro,126581,12
382811,INV-00382811,2017-10-08,odlično,126581,12
382812,INV-00382812,2018-01-13,dobro,126581,12
382813,INV-00382813,2017-08-31,dobro,126581,12
382814,INV-00382814,2018-04-11,odlično,126581,12
382815,INV-00382815,2018-09-28,odlično,126581,12
382816,INV-00382816,2017-11-06,dobro,126581,12
382817,INV-00382817,2017-06-04,oštećeno,126581,12
382818,INV-00382818,2017-09-01,odlično,126581,12
382819,INV-00382819,2018-12-15,dobro,126581,12
382820,INV-00382820,2018-07-24,dobro,126581,12
382821,INV-00382821,2018-08-11,odlično,126581,12
382822,INV-00382822,2018-01-10,odlično,126581,12
382823,INV-00382823,2019-02-18,odlično,126581,12
382824,INV-00382824,2018-07-01,dobro,126581,12
382825,INV-00382825,2019-07-15,odlično,126581,12
382826,INV-00382826,2018-05-04,odlično,126581,12
382827,INV-00382827,2018-11-13,odlično,126581,12
382828,INV-00382828,2019-04-05,odlično,126581,12
382829,INV-00382829,2019-07-11,dobro,126581,12
382830,INV-00382830,2019-01-27,odlično,126581,12
382831,INV-00382831,2016-08-21,odlično,126581,15
382832,INV-00382832,2018-02-22,zadovoljavajuće,126581,15
382833,INV-00382833,2016-08-20,oštećeno,126581,15
382834,INV-00382834,2018-01-04,dobro,126581,15
382835,INV-00382835,2017-08-15,zadovoljavajuće,126581,15
382836,INV-00382836,2016-10-30,dobro,126581,15
382837,INV-00382837,2016-11-07,dobro,126581,15
382838,INV-00382838,2017-09-26,odlično,126581,15
382839,INV-00382839,2018-02-05,odlično,126581,15
382840,INV-00382840,2017-12-10,odlično,126581,15
382841,INV-00382841,2018-04-08,dobro,126581,15
382842,INV-00382842,2018-03-11,odlično,126581,15
382843,INV-00382843,2017-06-05,dobro,126581,15
382844,INV-00382844,2018-04-15,zadovoljavajuće,126581,15
382845,INV-00382845,2019-01-02,dobro,126581,15
382846,INV-00382846,2018-05-26,oštećeno,126581,15
382847,INV-00382847,2017-07-25,odlično,126581,15
382848,INV-00382848,2018-10-05,zadovoljavajuće,126581,15
382849,INV-00382849,2017-12-14,odlično,126581,15
382850,INV-00382850,2017-09-03,dobro,126581,15
382851,INV-00382851,2019-06-07,dobro,126581,15
382852,INV-00382852,2018-08-17,odlično,126581,15
382853,INV-00382853,2019-03-10,oštećeno,126581,15
382854,INV-00382854,2019-02-04,dobro,126581,15
382855,INV-00382855,2018-04-05,odlično,126581,15
382856,INV-00382856,2019-11-02,odlično,126581,15
382857,INV-00382857,2019-06-10,odlično,126581,15
382858,INV-00382858,2018-06-17,odlično,126581,15
382859,INV-00382859,2018-01-05,dobro,126581,15
382860,INV-00382860,2017-05-24,odlično,126582,1
382861,INV-00382861,2017-07-11,odlično,126582,1
382862,INV-00382862,2017-08-06,oštećeno,126582,4
382863,INV-00382863,2017-10-15,dobro,126582,4
382864,INV-00382864,2016-07-23,odlično,126582,4
382865,INV-00382865,2016-11-16,odlično,126582,4
382866,INV-00382866,2018-11-22,odlično,126582,4
382867,INV-00382867,2017-12-19,zadovoljavajuće,126582,7
382868,INV-00382868,2019-06-10,odlično,126582,10
382869,INV-00382869,2017-08-10,dobro,126582,13
382870,INV-00382870,2018-02-08,dobro,126582,13
382871,INV-00382871,2016-11-22,dobro,126585,1
382872,INV-00382872,2018-05-23,dobro,126585,1
382873,INV-00382873,2017-10-07,dobro,126585,1
382874,INV-00382874,2017-12-08,zadovoljavajuće,126585,4
382875,INV-00382875,2016-08-05,zadovoljavajuće,126585,4
382876,INV-00382876,2017-09-08,dobro,126585,4
382877,INV-00382877,2019-04-26,odlično,126585,4
382878,INV-00382878,2016-11-07,odlično,126585,7
382879,INV-00382879,2016-08-22,dobro,126585,7
382880,INV-00382880,2018-01-31,zadovoljavajuće,126585,7
382881,INV-00382881,2017-04-21,odlično,126585,7
382882,INV-00382882,2017-12-04,odlično,126585,7
382883,INV-00382883,2017-03-21,dobro,126585,10
382884,INV-00382884,2017-05-23,odlično,126585,13
382885,INV-00382885,2017-08-27,odlično,126592,1
382886,INV-00382886,2016-09-15,odlično,126592,1
382887,INV-00382887,2018-07-17,oštećeno,126592,1
382888,INV-00382888,2019-04-14,odlično,126592,1
382889,INV-00382889,2018-07-15,dobro,126592,4
382890,INV-00382890,2016-12-17,odlično,126592,4
382891,INV-00382891,2018-09-26,oštećeno,126592,4
382892,INV-00382892,2019-03-06,zadovoljavajuće,126592,7
382893,INV-00382893,2019-05-26,dobro,126592,7
382894,INV-00382894,2017-10-11,odlično,126592,13
382895,INV-00382895,2018-06-18,zadovoljavajuće,126594,3
382896,INV-00382896,2018-04-12,odlično,126594,3
382897,INV-00382897,2018-08-10,dobro,126594,3
382898,INV-00382898,2019-05-29,odlično,126594,3
382899,INV-00382899,2018-06-26,oštećeno,126594,6
382900,INV-00382900,2018-05-06,dobro,126594,6
