primerak_id,inventarski_broj,datum_nabavke,fizicko_stanje,publikacija_id,odeljenje_id
525843,INV-00525843,2017-07-26,odlično,175092,13
525844,INV-00525844,2017-06-24,odlično,175101,3
525845,INV-00525845,2016-03-26,odlično,175101,3
525846,INV-00525846,2018-09-04,dobro,175101,3
525847,INV-00525847,2018-02-05,zadovoljavajuće,175101,3
525848,INV-00525848,2017-06-02,dobro,175101,6
525849,INV-00525849,2018-09-03,zadovoljavajuće,175101,9
525850,INV-00525850,2016-04-21,zadovoljavajuće,175101,12
525851,INV-00525851,2019-01-25,odlično,175101,12
525852,INV-00525852,2018-08-15,odlično,175101,15
525853,INV-00525853,2016-09-03,odlično,175128,1
525854,INV-00525854,2017-11-30,odlično,175128,4
525855,INV-00525855,2018-12-10,odlično,175128,4
525856,INV-00525856,2018-11-22,dobro,175128,4
525857,INV-00525857,2018-01-27,dobro,175128,7
525858,INV-00525858,2016-07-24,dobro,175129,1
525859,INV-00525859,2016-08-04,dobro,175129,4
525860,INV-00525860,2018-05-29,odlično,175129,4
525861,INV-00525861,2018-10-19,odlično,175129,4
525862,INV-00525862,2018-04-22,odlično,175129,4
525863,INV-00525863,2019-01-16,zadovoljavajuće,175129,4
525864,INV-00525864,2017-04-17,odlično,175129,7
525865,INV-00525865,2018-02-27,zadovoljavajuće,175129,7
525866,INV-00525866,2016-09-11,dobro,175129,10
525867,INV-00525867,2016-11-23,odlično,175129,10
525868,INV-00525868,2019-01-06,zadovoljavajuće,175129,10
525869,INV-00525869,2017-05-16,dobro,175129,13
525870,INV-00525870,2019-02-23,zadovoljavajuće,175129,13
525871,INV-00525871,2017-02-17,odlično,175135,2
525872,INV-00525872,2017-06-08,odlično,175135,2
525873,INV-00525873,2018-06-05,dobro,175135,2
525874,INV-00525874,2017-05-10,odlično,175135,2
525875,INV-00525875,2017-08-05,dobro,175135,2
525876,INV-00525876,2018-04-29,dobro,175135,2
525877,INV-00525877,2017-08-11,zadovoljavajuće,175135,2
525878,INV-00525878,2018-05-26,odlično,175135,2
525879,INV-00525879,2018-11-07,dobro,175135,2
525880,INV-00525880,2018-08-06,odlično,175135,2
525881,INV-00525881,2018-08-11,oštećeno,175135,2
525882,INV-00525882,2017-03-30,dobro,175135,2
525883,INV-00525883,2018-02-16,dobro,175135,2
525884,INV-00525884,2017-10-30,odlično,175135,2
525885,INV-00525885,2018-12-21,dobro,175135,2
525886,INV-00525886,2018-04-18,dobro,175135,2
525887,INV-00525887,2018-08-26,dobro,175135,2
525888,INV-00525888,2017-07-27,odlično,175135,2
525889,INV-00525889,2018-12-31,odlično,175135,2
525890,INV-00525890,2018-07-24,dobro,175135,2
525891,INV-00525891,2017-05-19,zadovoljavajuće,175135,2
525892,INV-00525892,2017-06-01,dobro,175135,2
525893,INV-00525893,2019-03-15,odlično,175135,2
525894,INV-00525894,2018-05-29,odlično,175135,2
525895,INV-00525895,2017-08-29,odlično,175135,2
525896,INV-00525896,2018-01-28,dobro,175135,2
525897,INV-00525897,2019-01-18,dobro,175135,2
525898,INV-00525898,2018-03-19,odlično,175135,2
525899,INV-00525899,2017-09-24,zadovoljavajuće,175135,2
525900,INV-00525900,2018-04-23,dobro,175135,2
525901,INV-00525901,2018-12-10,odlično,175135,2
525902,INV-00525902,2018-02-17,odlično,175135,2
525903,INV-00525903,2019-02-25,odlično,175135,2
525904,INV-00525904,2018-02-05,dobro,175135,2
525905,INV-00525905,2018-02-06,odlično,175135,2
525906,INV-00525906,2017-12-25,dobro,175135,2
525907,INV-00525907,2019-10-07,dobro,175135,2
525908,INV-00525908,2018-12-24,odlično,175135,2
525909,INV-00525909,2019-05-12,dobro,175135,2
525910,INV-00525910,2018-04-07,dobro,175135,5
525911,INV-00525911,2018-10-20,dobro,175135,5
525912,INV-00525912,2018-08-20,odlično,175135,5
525913,INV-00525913,2017-08-12,dobro,175135,5
525914,INV-00525914,2017-03-27,oštećeno,175135,5
525915,INV-00525915,2018-04-23,odlično,175135,5
525916,INV-00525916,2018-03-10,dobro,175135,5
525917,INV-00525917,2017-06-10,dobro,175135,5
525918,INV-00525918,2017-04-12,zadovoljavajuće,175135,5
525919,INV-00525919,2017-03-10,dobro,175135,5
525920,INV-00525920,2017-03-07,dobro,175135,5
525921,INV-00525921,2017-08-04,dobro,175135,5
