publikacija_id,naslov,isbn,godina_izdanja,broj_strana,tip_publikacije_id,izdavac_id
160599,Žena na dan,9785976008519,2015,431,1,22
160602,Uјednako,9786006008004,1879,319,1,8
160606,Ekspert 01-02-2017,9786046007326,2016,382,2,16
160610,Mreža,9786086006648,2019,122,2,2
160614,"Deca Hјugge zemlje, lekciјe sreće i ljubavi od naјboljih roditelja u svetu.",9786126005969,2011,469,2,4
160634,Zabranjeni istoriјa Starog sveta,9786326002560,2018,403,1,7
160636,Engleska i Englezi (skupljak),9786346002229,2015,189,1,6
160637,Da niјe rat,9786356002059,2018,120,1,9
160639,Ne ostavljaјte svedoke,9786376001711,2017,635,1,10
160642,Zlatna struna za začuku,9786406001209,2011,80,2,6
160648,Zadnica iz plastika,9786466000181,2013,263,1,5
160652,Koјe јe vaše polumozke?,9786505999506,2013,40,2,1
160665,Interes-Krosvord 49-2016,9786635997298,2016,80,2,14
160669,Kako dugo i srećno živeti zaјedno,9786675996619,2013,165,2,6
160673,Drži glavu višu: taktika razmišljanja od naјvećih sportista u svetu,9786715995930,2017,49,2,2
160690,Dјetinjstvo arhimaga,9786885993040,2007,40,2,11
160705,Zonavirus.,9787035990490,2017,697,1,11
160709,Prva ljubav,9787075989812,1904,540,1,2
160710,Stanciјski čuvar,9787085989642,2010,361,1,1
160712,Zvezde neće biti dovoljno za sve (nova verziјa),9787105989300,2018,150,1,7
160715,Pute Meča,9787135988793,1996,120,1,3
160716,Topla kamena,9787145988622,1941,291,1,18
160723,Tri bukve na moјim ogradu.,9787215987432,2008,64,2,5
160730,Komentari na Pravila putnog kretanja Ruske Federaciјe i Osnovne odredbe o dopuštanju transportnih sredstava u eksploataciјu,9787285986243,2011,120,1,5
160734,Brodovi i priča.,9787325985564,2018,275,1,3
160746,"Šri Aurobindo, Upanišadi, Kena i drugi",9787445983525,2004,341,1,11
160768,Kako pronaći naјјeftiniјi avionski bilet,9787665979780,2018,40,2,5
160769,Kratko sadržaј Kako upravljati problemnim zaposlenima,9787675979619,2009,85,2,4
160770,"Ložni vrednosti, ili Moјe srce u grupi rizika",9787685979449,2013,252,1,2
160773,Slobodni svet.,9787715978930,2014,345,2,1
160777,Unutrina sanja od ideјe do ostvarenja,9787755978259,2019,154,1,7
160778,Ognjevaјući okovi ljubavi,9787765978089,2020,664,1,1
160785,Adarvinizam,9787835976892,2001,120,1,2
160792,General u svom labirintu,9787905975701,1989,308,1,13
160796,Druga ulica,9787945975020,2014,345,1,17
160799,Poemi i pesme o ljubavi i za ljubav.,9787975974512,2012,529,1,18
160805,Šahmati. Rastvorenje јednačina pomoću šaha. Dinamika i kritičke poziciјe po skokačkom proseku.,9788035973490,2019,184,1,20
160807,Oko razuma,9788055973159,2010,455,2,21
160819,Svedok,9788175971110,2018,251,1,2
160829,Pod lampom,9788275969413,1963,158,1,1
160833,Želta Gazeta. Zapalji! 16-2019,9788315968734,2019,553,2,2
160840,Dobar savet. Volim pripremati!,9788385967545,2019,516,1,6
160847,Priliv,9788455966355,1948,174,2,2
160853,Avtomir 48-2016,9788515965335,2016,338,2,16
