pozajmica_id,datum_pozajmice,rok_vracanja,datum_vracanja,clan_id,primerak_id,status_pozajmice_id
1303453,2019-11-10,2019-12-01,,54007,682742,3
1303454,2019-11-10,2019-12-01,,54043,864563,3
1303455,2019-11-10,2019-12-01,2019-12-01,54070,773842,1
1303456,2019-11-10,2019-12-01,,54189,40142,3
1303457,2019-11-10,2019-12-01,,54239,952425,3
1303458,2019-11-10,2019-12-01,,54274,507573,3
1303459,2019-11-10,2019-12-01,,54625,490975,3
1303460,2019-11-10,2019-12-01,2019-11-29,54823,254900,1
1303461,2019-11-10,2019-12-01,2019-12-05,55031,499666,1
1303462,2019-11-10,2019-12-01,2019-11-27,55231,337847,1
1303463,2019-11-10,2019-12-01,2019-12-08,55231,483279,1
1303464,2019-11-10,2019-12-01,,55237,62863,3
1303465,2019-11-10,2019-12-01,,55237,329566,3
1303466,2019-11-10,2019-12-01,,55241,85754,3
1303467,2019-11-10,2019-12-01,,55241,578772,3
1303468,2019-11-10,2019-12-01,,55241,683970,3
1303469,2019-11-10,2019-12-01,,55311,680651,3
1303470,2019-11-10,2019-12-01,,55559,589346,3
1303471,2019-11-10,2019-12-01,2019-12-11,55674,718638,1
1303472,2019-11-10,2019-12-01,,55674,871633,3
1303473,2019-11-10,2019-12-01,,55708,846566,3
1303474,2019-11-10,2019-12-01,,55737,411217,3
1303475,2019-11-10,2019-12-01,,55881,500735,3
1303476,2019-11-10,2019-12-01,2019-11-30,55951,621435,1
1303477,2019-11-10,2019-12-01,,56098,112978,3
1303478,2019-11-10,2019-12-01,,56119,928275,3
1303479,2019-11-10,2019-12-01,,56375,534178,3
1303480,2019-11-10,2019-12-01,,56456,105346,3
1303481,2019-11-10,2019-12-01,,56812,284596,3
1303482,2019-11-10,2019-12-01,2019-11-29,57060,79367,1
1303483,2019-11-10,2019-12-01,,57228,319898,3
1303484,2019-11-10,2019-12-01,,57299,615134,3
1303485,2019-11-10,2019-12-01,,57549,924535,3
1303486,2019-11-10,2019-12-01,2019-11-28,57613,72288,1
1303487,2019-11-10,2019-12-01,2019-12-08,57686,93657,1
1303488,2019-11-10,2019-12-01,2019-11-26,57778,654949,1
1303489,2019-11-10,2019-12-01,,57882,266699,3
1303490,2019-11-10,2019-12-01,,57904,406213,3
1303491,2019-11-10,2019-12-01,,58583,836081,3
1303492,2019-11-10,2019-12-01,2019-11-28,58817,333551,1
1303493,2019-11-10,2019-12-01,2019-11-30,59142,71828,1
1303494,2019-11-10,2019-12-01,,59224,141719,3
1303495,2019-11-10,2019-12-01,,59272,286991,3
1303496,2019-11-10,2019-12-01,,59275,87878,3
1303497,2019-11-10,2019-12-01,,59309,227493,3
1303498,2019-11-10,2019-12-01,2019-12-08,59378,809785,1
1303499,2019-11-10,2019-12-01,,59383,73445,3
1303500,2019-11-10,2019-12-01,,59456,955403,3
1303501,2019-11-10,2019-12-01,,59464,682943,3
1303502,2019-11-10,2019-12-01,,59543,650782,3
1303503,2019-11-10,2019-12-01,,59601,864153,3
1303504,2019-11-10,2019-12-01,2019-11-29,59720,793719,1
1303505,2019-11-10,2019-12-01,,59836,652233,3
1303506,2019-11-10,2019-12-01,,59838,504823,3
1303507,2019-11-10,2019-12-01,,59899,841933,3
1303508,2019-11-10,2019-12-01,,59916,65591,3
1303509,2019-11-10,2019-12-01,,59951,900190,3
1303510,2019-11-10,2019-12-01,,59968,83055,3
1303511,2019-11-10,2019-12-01,,59968,94940,3
1303512,2019-11-10,2019-12-01,2019-11-29,59968,757054,1
1303513,2019-11-10,2019-12-01,2019-11-27,60017,176074,1
1303514,2019-11-10,2019-12-01,2019-11-28,60033,33070,1
1303515,2019-11-10,2019-12-01,,60039,93485,3
1303516,2019-11-10,2019-12-01,,60039,545875,3
1303517,2019-11-10,2019-12-01,,60047,528686,3
1303518,2019-11-10,2019-12-01,2019-11-27,60471,130216,1
1303519,2019-11-10,2019-12-01,,60504,250992,3
1303520,2019-11-10,2019-12-01,2019-11-28,60591,501364,1
1303521,2019-11-10,2019-12-01,2019-12-07,60591,551460,1
1303522,2019-11-10,2019-12-01,,60611,210089,3
1303523,2019-11-10,2019-12-01,2019-12-04,60621,58316,1
1303524,2019-11-10,2019-12-01,,60629,87634,3
1303525,2019-11-10,2019-12-01,,60878,644745,3
1303526,2019-11-10,2019-12-01,2019-12-02,60993,478681,1
1303527,2019-11-10,2019-12-01,,61075,662666,3
1303528,2019-11-10,2019-12-01,,61288,246251,3
1303529,2019-11-10,2019-12-01,2019-12-07,61326,385953,1
1303530,2019-11-10,2019-12-01,,61503,90210,3
1303531,2019-11-10,2019-12-01,,61541,668796,3
1303532,2019-11-10,2019-12-01,,61886,887281,3
1303533,2019-11-10,2019-12-01,2019-12-08,61948,657550,1
1303534,2019-11-10,2019-12-01,,61988,584049,3
1303535,2019-11-10,2019-12-01,,62171,576873,3
1303536,2019-11-10,2019-12-01,,62171,894349,3
1303537,2019-11-10,2019-12-01,2019-12-04,62335,428040,1
1303538,2019-11-10,2019-12-01,2019-12-04,62335,725889,1
1303539,2019-11-10,2019-12-01,2019-12-05,62456,451426,1
1303540,2019-11-10,2019-12-01,2019-12-08,62719,188834,1
1303541,2019-11-10,2019-12-01,2019-12-01,62719,301092,1
1303542,2019-11-10,2019-12-01,2019-11-30,62719,324744,1
1303543,2019-11-10,2019-12-01,2019-12-09,62719,449327,1
1303544,2019-11-10,2019-12-01,2019-11-26,62719,551219,1
1303545,2019-11-10,2019-12-01,2019-12-03,62719,635708,1
1303546,2019-11-10,2019-12-01,,62719,661697,3
1303547,2019-11-10,2019-12-01,2019-12-04,62719,661777,1
1303548,2019-11-10,2019-12-01,2019-12-09,62719,701243,1
1303549,2019-11-10,2019-12-01,2019-11-27,62719,832963,1
1303550,2019-11-10,2019-12-01,2019-11-29,62802,16078,1
1303551,2019-11-10,2019-12-01,2019-12-04,62802,864901,1
1303552,2019-11-10,2019-12-01,,62833,806480,3
1303553,2019-11-10,2019-12-01,,62921,599993,3
1303554,2019-11-10,2019-12-01,2019-12-05,63113,415178,1
1303555,2019-11-10,2019-12-01,,63142,674786,3
1303556,2019-11-10,2019-12-01,2019-12-10,63290,98185,1
1303557,2019-11-10,2019-12-01,,63390,358206,3
1303558,2019-11-10,2019-12-01,,63423,229068,3
1303559,2019-11-10,2019-12-01,,63429,545732,3
1303560,2019-11-10,2019-12-01,,63640,241113,3
1303561,2019-11-10,2019-12-01,2019-12-03,63670,735450,1
1303562,2019-11-10,2019-12-01,,63692,86833,3
1303563,2019-11-10,2019-12-01,2019-12-02,63776,358130,1
