pozajmica_id,datum_pozajmice,rok_vracanja,datum_vracanja,clan_id,primerak_id,status_pozajmice_id
1158625,2019-08-27,2019-09-17,,88105,750924,3
1158626,2019-08-27,2019-09-17,,88238,759505,3
1158627,2019-08-27,2019-09-17,2019-09-15,88493,583918,1
1158628,2019-08-27,2019-09-17,,88508,3894,3
1158629,2019-08-27,2019-09-17,,88508,479111,3
1158630,2019-08-27,2019-09-17,,88639,57616,3
1158631,2019-08-27,2019-09-17,,88681,86396,3
1158632,2019-08-27,2019-09-17,2019-09-10,88681,178871,1
1158633,2019-08-27,2019-09-17,,89049,76456,3
1158634,2019-08-27,2019-09-17,2019-09-25,89163,623774,1
1158635,2019-08-27,2019-09-17,,89278,788842,3
1158636,2019-08-27,2019-09-17,2019-09-13,89403,22096,1
1158637,2019-08-27,2019-09-17,2019-09-14,89403,731672,1
1158638,2019-08-27,2019-09-17,,89600,475309,3
1158639,2019-08-27,2019-09-17,,89673,611864,3
1158640,2019-08-27,2019-09-17,,89990,681091,3
1158641,2019-08-27,2019-09-17,,90031,298417,3
1158642,2019-08-27,2019-09-17,,90049,126642,3
1158643,2019-08-27,2019-09-17,,90049,360710,3
1158644,2019-08-27,2019-09-17,,90049,634887,3
1158645,2019-08-27,2019-09-17,2019-09-13,90240,476011,1
1158646,2019-08-27,2019-09-17,,90327,560803,3
1158647,2019-08-27,2019-09-17,2019-09-07,90707,639527,1
1158648,2019-08-27,2019-09-17,,90865,776387,3
1158649,2019-08-27,2019-09-17,,91008,298718,3
1158650,2019-08-27,2019-09-17,,91051,145317,3
1158651,2019-08-27,2019-09-17,,91055,331884,3
1158652,2019-08-27,2019-09-17,,91133,160035,3
1158653,2019-08-27,2019-09-17,2019-09-10,91196,77147,1
1158654,2019-08-27,2019-09-17,,91377,837873,3
1158655,2019-08-27,2019-09-17,,91523,315601,3
1158656,2019-08-27,2019-09-17,2019-09-12,91656,169581,1
1158657,2019-08-27,2019-09-17,2019-09-11,91656,299360,1
1158658,2019-08-27,2019-09-17,,91779,43288,3
1158659,2019-08-27,2019-09-17,,91779,810554,3
1158660,2019-08-27,2019-09-17,,91788,117909,3
1158661,2019-08-27,2019-09-17,2019-09-18,91791,17426,1
1158662,2019-08-27,2019-09-17,2019-09-18,92107,255387,1
1158663,2019-08-27,2019-09-17,2019-09-20,92129,522004,1
1158664,2019-08-27,2019-09-17,,92314,297464,3
1158665,2019-08-27,2019-09-17,2019-09-25,92379,115587,1
1158666,2019-08-27,2019-09-17,,92425,246004,3
1158667,2019-08-27,2019-09-17,,92529,757181,3
1158668,2019-08-27,2019-09-17,2019-09-10,92630,422485,1
1158669,2019-08-27,2019-09-17,2019-09-18,92630,493958,1
1158670,2019-08-27,2019-09-17,2019-09-17,92642,166336,1
1158671,2019-08-27,2019-09-17,,92827,95345,3
1158672,2019-08-27,2019-09-17,2019-09-24,92827,182426,1
1158673,2019-08-27,2019-09-17,,92969,63207,3
1158674,2019-08-27,2019-09-17,2019-09-19,92969,738132,1
1158675,2019-08-27,2019-09-17,,93121,423675,3
1158676,2019-08-27,2019-09-17,,93130,62920,3
1158677,2019-08-27,2019-09-17,,93130,72988,3
1158678,2019-08-27,2019-09-17,,93222,627061,3
1158679,2019-08-27,2019-09-17,2019-09-22,93243,480961,1
1158680,2019-08-27,2019-09-17,2019-09-12,93243,685412,1
1158681,2019-08-27,2019-09-17,,93271,694109,3
1158682,2019-08-27,2019-09-17,,93335,731622,3
1158683,2019-08-27,2019-09-17,,93486,731320,3
1158684,2019-08-27,2019-09-17,,93532,17453,3
1158685,2019-08-27,2019-09-17,2019-09-12,93532,36588,1
1158686,2019-08-27,2019-09-17,,93532,140125,3
1158687,2019-08-27,2019-09-17,2019-09-12,93592,419964,1
1158688,2019-08-27,2019-09-17,2019-09-10,93592,878318,1
1158689,2019-08-27,2019-09-17,2019-09-19,93673,402430,1
1158690,2019-08-27,2019-09-17,,93690,135512,3
1158691,2019-08-27,2019-09-17,,93696,32874,3
1158692,2019-08-27,2019-09-17,,93703,88005,3
1158693,2019-08-27,2019-09-17,2019-09-12,93706,224661,1
1158694,2019-08-27,2019-09-17,2019-09-11,93706,913459,1
1158695,2019-08-27,2019-09-17,,94087,924771,3
1158696,2019-08-27,2019-09-17,,94197,256524,3
1158697,2019-08-27,2019-09-17,,94375,613629,3
1158698,2019-08-27,2019-09-17,,94537,832339,3
1158699,2019-08-27,2019-09-17,,94855,401512,3
1158700,2019-08-27,2019-09-17,,94859,799848,3
1158701,2019-08-27,2019-09-17,,94987,571961,3
1158702,2019-08-27,2019-09-17,2019-09-11,95123,678544,1
1158703,2019-08-27,2019-09-17,2019-09-19,95347,172316,1
1158704,2019-08-27,2019-09-17,,95811,192329,3
1158705,2019-08-27,2019-09-17,2019-09-22,95858,436801,1
1158706,2019-08-27,2019-09-17,,95948,834038,3
1158707,2019-08-27,2019-09-17,,96221,517102,3
1158708,2019-08-27,2019-09-17,,96294,652934,3
1158709,2019-08-27,2019-09-17,2019-09-11,96294,666744,1
1158710,2019-08-27,2019-09-17,2019-09-18,96294,903397,1
1158711,2019-08-27,2019-09-17,2019-09-16,96383,215670,1
1158712,2019-08-27,2019-09-17,,96516,928370,3
1158713,2019-08-27,2019-09-17,,96652,940953,3
1158714,2019-08-27,2019-09-17,,96857,614130,3
1158715,2019-08-27,2019-09-17,,97041,370313,3
1158716,2019-08-27,2019-09-17,,97074,783926,3
