pozajmica_id,datum_pozajmice,rok_vracanja,datum_vracanja,clan_id,primerak_id,status_pozajmice_id
820693,2019-03-08,2019-03-29,,105856,624286,3
820694,2019-03-08,2019-03-29,,105877,254009,3
820695,2019-03-08,2019-03-29,2019-03-31,105951,526599,1
820696,2019-03-08,2019-03-29,,106320,518718,3
820697,2019-03-08,2019-03-29,2019-04-07,106320,760172,1
820698,2019-03-08,2019-03-29,,106327,729066,3
820699,2019-03-08,2019-03-29,2019-04-02,106438,10362,1
820700,2019-03-08,2019-03-29,,106508,645625,3
820701,2019-03-08,2019-03-29,,106610,602239,3
820702,2019-03-08,2019-03-29,,106670,905824,3
820703,2019-03-08,2019-03-29,,106711,96867,3
820704,2019-03-08,2019-03-29,,106956,649587,3
820705,2019-03-08,2019-03-29,2019-04-02,106959,133465,1
820706,2019-03-08,2019-03-29,2019-04-03,107320,446378,1
820707,2019-03-08,2019-03-29,,107358,597645,3
820708,2019-03-08,2019-03-29,,107381,345259,3
820709,2019-03-08,2019-03-29,,107395,426418,3
820710,2019-03-08,2019-03-29,,107605,356970,3
820711,2019-03-08,2019-03-29,,107702,200862,3
820712,2019-03-08,2019-03-29,,107726,650775,3
820713,2019-03-08,2019-03-29,2019-04-09,107906,831069,1
820714,2019-03-08,2019-03-29,,107947,113988,3
820715,2019-03-08,2019-03-29,,108093,642769,3
820716,2019-03-08,2019-03-29,2019-03-28,108252,783078,1
820717,2019-03-08,2019-03-29,,108307,360393,3
820718,2019-03-08,2019-03-29,2019-04-06,108533,289160,1
820719,2019-03-08,2019-03-29,,108621,163302,3
820720,2019-03-08,2019-03-29,,108621,465364,3
820721,2019-03-08,2019-03-29,2019-03-25,108621,674430,1
820722,2019-03-08,2019-03-29,,108621,762267,3
820723,2019-03-08,2019-03-29,,108621,881290,3
820724,2019-03-08,2019-03-29,2019-03-29,109054,97094,1
820725,2019-03-08,2019-03-29,,109054,150872,3
820726,2019-03-08,2019-03-29,2019-03-25,109054,708103,1
820727,2019-03-08,2019-03-29,2019-04-01,109234,643075,1
820728,2019-03-08,2019-03-29,2019-04-04,109642,303543,1
820729,2019-03-08,2019-03-29,,109652,17285,3
820730,2019-03-08,2019-03-29,2019-03-24,109794,566343,1
820731,2019-03-08,2019-03-29,2019-04-01,109947,720125,1
820732,2019-03-08,2019-03-29,,110004,16525,3
820733,2019-03-08,2019-03-29,,110004,18096,3
820734,2019-03-08,2019-03-29,,110004,506682,3
820735,2019-03-08,2019-03-29,,110139,142112,3
820736,2019-03-08,2019-03-29,,110361,209729,3
820737,2019-03-08,2019-03-29,2019-03-23,110649,626664,1
820738,2019-03-08,2019-03-29,2019-03-31,110735,65531,1
820739,2019-03-08,2019-03-29,2019-03-30,110735,444931,1
820740,2019-03-08,2019-03-29,,110762,471527,3
820741,2019-03-08,2019-03-29,,110774,931938,3
820742,2019-03-08,2019-03-29,,110919,713841,3
820743,2019-03-08,2019-03-29,,111001,254482,3
820744,2019-03-08,2019-03-29,,111066,610437,3
820745,2019-03-08,2019-03-29,2019-03-30,111104,947287,1
820746,2019-03-08,2019-03-29,,111157,414613,3
820747,2019-03-08,2019-03-29,2019-03-30,111772,609827,1
820748,2019-03-08,2019-03-29,,111843,222211,3
820749,2019-03-08,2019-03-29,,111843,647299,3
820750,2019-03-08,2019-03-29,,112086,161849,3
820751,2019-03-08,2019-03-29,,112152,1962,3
820752,2019-03-08,2019-03-29,2019-04-03,112198,133549,1
820753,2019-03-08,2019-03-29,,112520,248574,3
820754,2019-03-08,2019-03-29,,112560,406722,3
820755,2019-03-08,2019-03-29,,112696,517783,3
820756,2019-03-08,2019-03-29,,112697,305099,3
820757,2019-03-08,2019-03-29,,112786,764089,3
820758,2019-03-08,2019-03-29,,112905,780041,3
820759,2019-03-08,2019-03-29,2019-03-30,112935,749867,1
820760,2019-03-08,2019-03-29,,112957,127765,3
820761,2019-03-08,2019-03-29,2019-03-25,113168,304587,1
820762,2019-03-08,2019-03-29,,113346,92114,3
820763,2019-03-08,2019-03-29,,113346,535652,3
820764,2019-03-08,2019-03-29,2019-04-02,113389,176733,1
820765,2019-03-08,2019-03-29,,113441,153497,3
820766,2019-03-08,2019-03-29,2019-04-01,113609,61760,1
820767,2019-03-08,2019-03-29,,113625,183686,3
820768,2019-03-08,2019-03-29,,113670,755849,3
820769,2019-03-08,2019-03-29,,113713,429358,3
820770,2019-03-08,2019-03-29,,114093,648935,3
820771,2019-03-08,2019-03-29,,114231,869656,3
820772,2019-03-08,2019-03-29,,114371,397043,3
820773,2019-03-08,2019-03-29,,114479,604729,3
820774,2019-03-08,2019-03-29,,114575,140682,3
820775,2019-03-08,2019-03-29,,114590,135982,3
820776,2019-03-08,2019-03-29,,114592,110961,3
820777,2019-03-08,2019-03-29,,114593,656464,3
820778,2019-03-08,2019-03-29,2019-04-03,114704,54927,1
820779,2019-03-08,2019-03-29,,114813,393464,3
820780,2019-03-08,2019-03-29,2019-04-06,114909,284087,1
820781,2019-03-08,2019-03-29,,115124,660271,3
820782,2019-03-08,2019-03-29,,115147,778340,3
820783,2019-03-08,2019-03-29,,115410,34269,3
820784,2019-03-08,2019-03-29,2019-04-08,115424,912133,1
820785,2019-03-08,2019-03-29,2019-03-27,115574,610861,1
820786,2019-03-08,2019-03-29,,115743,321498,3
820787,2019-03-08,2019-03-29,,115915,666973,3
820788,2019-03-08,2019-03-29,,115919,353138,3
820789,2019-03-08,2019-03-29,2019-03-30,115987,118820,1
820790,2019-03-08,2019-03-29,,116096,528865,3
820791,2019-03-08,2019-03-29,2019-03-26,116096,886084,1
820792,2019-03-08,2019-03-29,2019-04-01,116345,543436,1
820793,2019-03-08,2019-03-29,,116389,376144,3
820794,2019-03-08,2019-03-29,2019-03-26,116422,223426,1
820795,2019-03-08,2019-03-29,,116502,623318,3
820796,2019-03-08,2019-03-29,,116550,313703,3
820797,2019-03-08,2019-03-29,2019-03-31,116620,877926,1
820798,2019-03-08,2019-03-29,,116630,344633,3
820799,2019-03-08,2019-03-29,,116730,774536,3
820800,2019-03-08,2019-03-29,,116735,632034,3
820801,2019-03-08,2019-03-29,,116856,800788,3
820802,2019-03-08,2019-03-29,2019-04-02,117086,291207,1
820803,2019-03-08,2019-03-29,,117141,270593,3
820804,2019-03-08,2019-03-29,,117156,501943,3
820805,2019-03-08,2019-03-29,,117284,880516,3
820806,2019-03-08,2019-03-29,,117290,895998,3
820807,2019-03-08,2019-03-29,,117410,281362,3
820808,2019-03-08,2019-03-29,,117510,485798,3
820809,2019-03-08,2019-03-29,,117638,153958,3
820810,2019-03-08,2019-03-29,,117721,52002,3
820811,2019-03-08,2019-03-29,,117721,407316,3
820812,2019-03-08,2019-03-29,,118170,263522,3
820813,2019-03-08,2019-03-29,,118172,844040,3
820814,2019-03-08,2019-03-29,,118236,517124,3
