pozajmica_id,datum_pozajmice,rok_vracanja,datum_vracanja,clan_id,primerak_id,status_pozajmice_id
579313,2018-11-04,2018-11-25,2018-11-30,119082,185065,1
579314,2018-11-04,2018-11-25,,119097,177793,3
579315,2018-11-04,2018-11-25,2018-11-23,119105,578293,1
579316,2018-11-04,2018-11-25,,119171,710680,3
579317,2018-11-04,2018-11-25,,119291,873053,3
579318,2018-11-04,2018-11-25,,119459,931787,3
579319,2018-11-04,2018-11-25,,119511,539153,3
579320,2018-11-04,2018-11-25,,119606,118600,3
579321,2018-11-04,2018-11-25,,119662,113946,3
579322,2018-11-04,2018-11-25,,119753,204005,3
579323,2018-11-04,2018-11-25,,119803,705953,3
579324,2018-11-04,2018-11-25,,119808,292790,3
579325,2018-11-04,2018-11-25,,119833,114306,3
579326,2018-11-04,2018-11-25,2018-11-24,119879,350747,1
579327,2018-11-04,2018-11-25,,119896,327616,3
579328,2018-11-04,2018-11-25,,119958,336443,3
579329,2018-11-04,2018-11-25,,119974,162171,3
579330,2018-11-04,2018-11-25,,120056,610206,3
579331,2018-11-04,2018-11-25,,120159,284688,3
579332,2018-11-04,2018-11-25,2018-11-27,120328,191321,1
579333,2018-11-04,2018-11-25,,120335,203190,3
579334,2018-11-04,2018-11-25,,120666,902922,3
579335,2018-11-04,2018-11-25,2018-11-30,120857,319731,1
579336,2018-11-04,2018-11-25,2018-11-24,120907,609819,1
579337,2018-11-04,2018-11-25,,121150,447180,3
579338,2018-11-04,2018-11-25,,121165,205196,3
579339,2018-11-04,2018-11-25,,121184,411858,3
579340,2018-11-04,2018-11-25,,121336,103058,3
579341,2018-11-04,2018-11-25,,121716,77647,3
579342,2018-11-04,2018-11-25,,121844,372606,3
579343,2018-11-04,2018-11-25,,121846,377540,3
579344,2018-11-04,2018-11-25,2018-11-21,121881,69001,1
579345,2018-11-04,2018-11-25,2018-12-03,121881,288726,1
579346,2018-11-04,2018-11-25,2018-11-24,121935,263947,1
579347,2018-11-04,2018-11-25,2018-12-03,121967,214658,1
579348,2018-11-04,2018-11-25,,121967,920169,3
579349,2018-11-04,2018-11-25,,122028,375728,3
579350,2018-11-04,2018-11-25,,122062,726750,3
579351,2018-11-04,2018-11-25,2018-11-23,122062,766867,1
579352,2018-11-04,2018-11-25,2018-12-01,122508,601272,1
579353,2018-11-04,2018-11-25,,122808,566751,3
579354,2018-11-04,2018-11-25,2018-11-26,122838,48332,1
579355,2018-11-04,2018-11-25,2018-11-26,122838,151553,1
579356,2018-11-04,2018-11-25,,122961,158839,3
579357,2018-11-04,2018-11-25,2018-12-06,123339,2953,1
579358,2018-11-04,2018-11-25,,123369,297815,3
579359,2018-11-04,2018-11-25,,123413,159868,3
579360,2018-11-04,2018-11-25,,123515,552487,3
579361,2018-11-04,2018-11-25,,123632,594947,3
579362,2018-11-04,2018-11-25,,123719,417153,3
579363,2018-11-04,2018-11-25,,123857,912445,3
579364,2018-11-04,2018-11-25,,124073,135285,3
579365,2018-11-04,2018-11-25,,124073,263983,3
579366,2018-11-04,2018-11-25,,124073,593606,3
579367,2018-11-04,2018-11-25,,124092,295527,3
579368,2018-11-04,2018-11-25,,124285,261186,3
579369,2018-11-04,2018-11-25,,124378,434842,3
579370,2018-11-04,2018-11-25,,124840,949901,3
579371,2018-11-04,2018-11-25,2018-11-22,124867,212265,1
579372,2018-11-04,2018-11-25,,124897,253906,3
579373,2018-11-04,2018-11-25,2018-11-27,125035,795962,1
579374,2018-11-04,2018-11-25,2018-12-02,125124,309682,1
579375,2018-11-04,2018-11-25,2018-12-01,125273,91175,1
579376,2018-11-04,2018-11-25,2018-11-20,125273,523254,1
579377,2018-11-04,2018-11-25,2018-11-21,125273,846264,1
579378,2018-11-04,2018-11-25,,125448,796308,3
579379,2018-11-04,2018-11-25,,125463,893013,3
579380,2018-11-04,2018-11-25,,125505,557994,3
579381,2018-11-04,2018-11-25,,125743,324878,3
579382,2018-11-04,2018-11-25,,125876,153867,3
579383,2018-11-04,2018-11-25,,126102,158631,3
579384,2018-11-04,2018-11-25,,126176,487483,3
579385,2018-11-04,2018-11-25,,126479,457942,3
579386,2018-11-04,2018-11-25,,126507,68177,3
579387,2018-11-04,2018-11-25,2018-11-30,126514,318338,1
579388,2018-11-04,2018-11-25,,126704,809670,3
579389,2018-11-04,2018-11-25,2018-11-27,126800,707969,1
579390,2018-11-04,2018-11-25,2018-11-30,127073,647496,1
579391,2018-11-04,2018-11-25,,127254,376884,3
579392,2018-11-04,2018-11-25,,127263,68361,3
579393,2018-11-04,2018-11-25,,127317,573087,3
579394,2018-11-04,2018-11-25,2018-11-24,127485,620351,1
579395,2018-11-04,2018-11-25,,127725,13879,3
579396,2018-11-04,2018-11-25,,127779,72286,3
579397,2018-11-04,2018-11-25,,127779,108897,3
579398,2018-11-04,2018-11-25,,127779,167749,3
579399,2018-11-04,2018-11-25,,127779,906812,3
579400,2018-11-04,2018-11-25,,127789,490588,3
579401,2018-11-04,2018-11-25,,127983,296335,3
579402,2018-11-04,2018-11-25,2018-11-25,128056,511194,1
579403,2018-11-04,2018-11-25,,128111,528349,3
579404,2018-11-04,2018-11-25,,128111,764780,3
579405,2018-11-04,2018-11-25,,128242,799951,3
579406,2018-11-04,2018-11-25,,128436,76496,3
579407,2018-11-04,2018-11-25,,128478,612619,3
579408,2018-11-04,2018-11-25,,128663,191062,3
579409,2018-11-04,2018-11-25,,128676,842893,3
579410,2018-11-04,2018-11-25,,129048,485480,3
579411,2018-11-04,2018-11-25,,129154,284750,3
579412,2018-11-04,2018-11-25,,129199,620450,3
579413,2018-11-04,2018-11-25,,129246,734089,3
579414,2018-11-04,2018-11-25,,129534,449521,3
579415,2018-11-04,2018-11-25,2018-11-27,129577,405976,1
579416,2018-11-04,2018-11-25,,129731,202343,3
579417,2018-11-04,2018-11-25,,129769,784724,3
579418,2018-11-04,2018-11-25,,129824,494740,3
579419,2018-11-04,2018-11-25,,130128,788922,3
579420,2018-11-04,2018-11-25,,130164,123549,3
579421,2018-11-04,2018-11-25,,130181,696322,3
579422,2018-11-04,2018-11-25,,130330,549956,3
579423,2018-11-04,2018-11-25,2018-11-21,130514,807136,1
579424,2018-11-04,2018-11-25,,130636,925580,3
579425,2018-11-04,2018-11-25,,130835,327508,3
579426,2018-11-04,2018-11-25,,130843,137531,3
579427,2018-11-04,2018-11-25,2018-11-25,131028,439257,1
579428,2018-11-04,2018-11-25,,131044,30219,3
579429,2018-11-04,2018-11-25,,131044,177801,3
579430,2018-11-04,2018-11-25,,131044,177986,3
579431,2018-11-04,2018-11-25,,131044,588799,3
579432,2018-11-04,2018-11-25,,131044,721412,3
579433,2018-11-04,2018-11-25,2018-11-21,131044,832219,1
579434,2018-11-04,2018-11-25,2018-11-28,131334,526009,1
579435,2018-11-04,2018-11-25,2018-11-27,131380,95258,1
579436,2018-11-04,2018-11-25,,131380,486721,3
579437,2018-11-04,2018-11-25,2018-11-19,131383,233173,1
579438,2018-11-04,2018-11-25,2018-12-02,131571,666756,1
579439,2018-11-04,2018-11-25,,131594,342587,3
579440,2018-11-04,2018-11-25,,131594,436213,3
579441,2018-11-04,2018-11-25,2018-11-29,131643,326400,1
579442,2018-11-04,2018-11-25,,131660,388339,3
579443,2018-11-04,2018-11-25,,131739,335354,3
579444,2018-11-04,2018-11-25,2018-11-20,131857,327184,1
579445,2018-11-04,2018-11-25,,131877,55829,3
579446,2018-11-04,2018-11-25,,131877,868454,3
579447,2018-11-04,2018-11-25,,131877,933373,3
579448,2018-11-04,2018-11-25,2018-11-20,132005,620323,1
579449,2018-11-04,2018-11-25,2018-11-18,132005,715165,1
579450,2018-11-04,2018-11-25,2018-11-22,132005,721993,1
579451,2018-11-04,2018-11-25,,132101,779190,3
579452,2018-11-04,2018-11-25,,132104,440997,3
579453,2018-11-04,2018-11-25,,132252,96154,3
579454,2018-11-04,2018-11-25,2018-12-05,132252,687078,1
579455,2018-11-04,2018-11-25,,132295,930689,3
579456,2018-11-04,2018-11-25,,132341,468606,3
579457,2018-11-04,2018-11-25,,132611,185744,3
579458,2018-11-04,2018-11-25,,132640,772380,3
579459,2018-11-04,2018-11-25,2018-11-22,132849,2945,1
579460,2018-11-04,2018-11-25,,132970,924716,3
579461,2018-11-04,2018-11-25,,133082,743520,3
579462,2018-11-04,2018-11-25,,133354,334034,3
579463,2018-11-04,2018-11-25,,133462,873794,3
579464,2018-11-04,2018-11-25,2018-12-01,133477,404935,1
579465,2018-11-04,2018-11-25,,133489,136683,3
579466,2018-11-04,2018-11-25,,133489,345558,3
579467,2018-11-04,2018-11-25,,133615,502122,3
579468,2018-11-04,2018-11-25,2018-12-01,133669,440973,1
579469,2018-11-04,2018-11-25,2018-12-04,133810,901040,1
579470,2018-11-04,2018-11-25,,133892,204407,3
579471,2018-11-04,2018-11-25,2018-11-27,134037,192205,1
579472,2018-11-04,2018-11-25,,134037,902590,3
579473,2018-11-04,2018-11-25,2018-11-25,134159,86850,1
