pozajmica_id,datum_pozajmice,rok_vracanja,datum_vracanja,clan_id,primerak_id,status_pozajmice_id
868969,2019-04-02,2019-04-23,,98158,28337,3
868970,2019-04-02,2019-04-23,,98158,412890,3
868971,2019-04-02,2019-04-23,2019-04-18,98158,761374,1
868972,2019-04-02,2019-04-23,,98158,825546,3
868973,2019-04-02,2019-04-23,2019-04-15,98337,786427,1
868974,2019-04-02,2019-04-23,,98521,777456,3
868975,2019-04-02,2019-04-23,2019-04-14,98669,171028,1
868976,2019-04-02,2019-04-23,2019-04-16,98669,219498,1
868977,2019-04-02,2019-04-23,,98669,243137,3
868978,2019-04-02,2019-04-23,2019-04-26,98669,271859,1
868979,2019-04-02,2019-04-23,2019-04-28,98669,374858,1
868980,2019-04-02,2019-04-23,2019-04-22,98804,38740,1
868981,2019-04-02,2019-04-23,,99332,364548,3
868982,2019-04-02,2019-04-23,,99341,673567,3
868983,2019-04-02,2019-04-23,2019-04-15,99355,8800,1
868984,2019-04-02,2019-04-23,,99394,446212,3
868985,2019-04-02,2019-04-23,,99398,744228,3
868986,2019-04-02,2019-04-23,,99571,815957,3
868987,2019-04-02,2019-04-23,,99614,9241,3
868988,2019-04-02,2019-04-23,,99614,106161,3
868989,2019-04-02,2019-04-23,,99614,120407,3
868990,2019-04-02,2019-04-23,,99614,301215,3
868991,2019-04-02,2019-04-23,,99614,456397,3
868992,2019-04-02,2019-04-23,,99614,871874,3
868993,2019-04-02,2019-04-23,,99663,726143,3
868994,2019-04-02,2019-04-23,2019-04-25,99729,740078,1
868995,2019-04-02,2019-04-23,,99843,355658,3
868996,2019-04-02,2019-04-23,,99864,127911,3
868997,2019-04-02,2019-04-23,,100054,352770,3
868998,2019-04-02,2019-04-23,,100133,807545,3
868999,2019-04-02,2019-04-23,,100161,925601,3
869000,2019-04-02,2019-04-23,2019-04-23,100295,878577,1
869001,2019-04-02,2019-04-23,2019-04-23,100334,557216,1
869002,2019-04-02,2019-04-23,,100555,853401,3
869003,2019-04-02,2019-04-23,2019-04-28,100675,408841,1
869004,2019-04-02,2019-04-23,,100684,299588,3
869005,2019-04-02,2019-04-23,,101210,650695,3
869006,2019-04-02,2019-04-23,,101253,72635,3
869007,2019-04-02,2019-04-23,2019-04-19,101253,355238,1
869008,2019-04-02,2019-04-23,2019-04-30,101253,714353,1
869009,2019-04-02,2019-04-23,,101299,168177,3
869010,2019-04-02,2019-04-23,2019-04-20,101495,71172,1
